     D    UP    DW   WPC   CLR    SP     Q
  0000     0     0     0     1  UUUU  0000
  0000     0     0     0     0  UUUU  0000
  0000     0     0     0     0  UUUU  0001
  0000     0     0     0     0  UUUU  0002
  0010     1     0     1     0  UUUU  0003
  0000     0     0     0     0  XXXX  0010
  0000     0     0     0     0  XXXX  0011
  0000     0     0     0     0  XXXX  0012
  0020     1     0     1     0  XXXX  0013
  0000     0     0     0     0  XXXX  0020
  0000     0     0     0     0  XXXX  0021
  0000     0     0     0     0  XXXX  0022
  0000     0     1     1     0  XXXX  0023
  0000     0     0     0     0  XXXX  0014
  0000     0     0     0     0  XXXX  0015
  0000     0     1     1     0  XXXX  0016
  0000     0     0     0     0  XXXX  0014
  0000     0     0     0     0  XXXX  0015
  0002     0     0     1     0  XXXX  0016
  0000     0     0     0     0  XXXX  0002
